sales_key,order_id,customer_key,customer_id,customer_name,city,product_key,product_name,category,amount,quantity,status,order_date
1,ORD-2026-10001,49,CUST-1049,Enterprise Client 49,Seattle,7,BI Analytics Studio,Analytics Suite,42514.13,4,COMPLETED,2026-01-17 11:10:00
2,ORD-2026-10002,38,CUST-1038,Enterprise Client 38,Berlin,8,Stream Processing Hub,Analytics Suite,12408.02,1,PENDING,2026-02-21 12:54:00
3,ORD-2026-10003,18,CUST-1018,Enterprise Client 18,Tokyo,4,Quantum Blade Server X1,Enterprise Hardware,8146.61,1,PENDING,2026-05-11 09:25:00
4,ORD-2026-10004,7,CUST-1007,Enterprise Client 7,San Francisco,15,Identity Vault Pro,Cybersecurity,18041.22,3,COMPLETED,2026-01-10 16:27:00
5,ORD-2026-10005,20,CUST-1020,Enterprise Client 20,Chicago,12,LLM Inference Engine,AI Infrastructure,9469.18,1,COMPLETED,2026-08-13 09:29:00
6,ORD-2026-10006,14,CUST-1014,Enterprise Client 14,Seattle,8,Stream Processing Hub,Analytics Suite,27176.48,2,PENDING,2026-04-04 14:46:00
7,ORD-2026-10007,36,CUST-1036,Enterprise Client 36,Toronto,13,Zero Trust Shield,Cybersecurity,4741.9,2,COMPLETED,2026-01-18 18:51:00
8,ORD-2026-10008,2,CUST-1002,Enterprise Client 2,Seattle,13,Zero Trust Shield,Cybersecurity,10345.88,4,COMPLETED,2026-06-01 12:45:00
9,ORD-2026-10009,8,CUST-1008,Enterprise Client 8,Seattle,10,GPU Acceleration Node,AI Infrastructure,69245.88,5,CANCELLED,2026-05-19 12:01:00
10,ORD-2026-10010,11,CUST-1011,Enterprise Client 11,New York,8,Stream Processing Hub,Analytics Suite,14416.69,1,PENDING,2026-01-12 13:08:00
11,ORD-2026-10011,8,CUST-1008,Enterprise Client 8,Seattle,7,BI Analytics Studio,Analytics Suite,36913.25,4,COMPLETED,2026-07-19 12:10:00
12,ORD-2026-10012,8,CUST-1008,Enterprise Client 8,Seattle,10,GPU Acceleration Node,AI Infrastructure,76988.11,5,PENDING,2026-01-01 12:54:00
13,ORD-2026-10013,2,CUST-1002,Enterprise Client 2,Seattle,9,Predictive Engine AI,Analytics Suite,15743.68,3,COMPLETED,2026-04-12 18:06:00
14,ORD-2026-10014,15,CUST-1015,Enterprise Client 15,Sydney,9,Predictive Engine AI,Analytics Suite,5730.39,1,COMPLETED,2026-05-09 11:10:00
15,ORD-2026-10015,18,CUST-1018,Enterprise Client 18,Tokyo,15,Identity Vault Pro,Cybersecurity,23687.1,4,COMPLETED,2026-02-22 17:02:00
16,ORD-2026-10016,31,CUST-1031,Enterprise Client 31,Berlin,6,Edge Compute Gateway,Enterprise Hardware,10027.28,2,COMPLETED,2026-08-14 10:47:00
17,ORD-2026-10017,20,CUST-1020,Enterprise Client 20,Chicago,1,DataPulse Suite v4,Cloud Software,13807.35,1,COMPLETED,2026-03-22 09:27:00
18,ORD-2026-10018,30,CUST-1030,Enterprise Client 30,Sydney,5,Storage Array SAN-500,Enterprise Hardware,49517.29,5,COMPLETED,2026-04-04 17:30:00
19,ORD-2026-10019,35,CUST-1035,Enterprise Client 35,Berlin,15,Identity Vault Pro,Cybersecurity,18328.61,3,COMPLETED,2026-03-19 18:45:00
20,ORD-2026-10020,41,CUST-1041,Enterprise Client 41,Seattle,12,LLM Inference Engine,AI Infrastructure,28436.87,3,COMPLETED,2026-04-11 11:11:00
21,ORD-2026-10021,11,CUST-1011,Enterprise Client 11,New York,5,Storage Array SAN-500,Enterprise Hardware,38451.96,4,COMPLETED,2026-05-02 08:56:00
22,ORD-2026-10022,18,CUST-1018,Enterprise Client 18,Tokyo,9,Predictive Engine AI,Analytics Suite,11380.22,2,PENDING,2026-05-16 15:52:00
23,ORD-2026-10023,2,CUST-1002,Enterprise Client 2,Seattle,10,GPU Acceleration Node,AI Infrastructure,69253.04,5,CANCELLED,2026-05-04 10:50:00
24,ORD-2026-10024,40,CUST-1040,Enterprise Client 40,London,6,Edge Compute Gateway,Enterprise Hardware,5523.21,1,COMPLETED,2026-08-16 16:14:00
25,ORD-2026-10025,18,CUST-1018,Enterprise Client 18,Tokyo,15,Identity Vault Pro,Cybersecurity,12586.97,2,PENDING,2026-05-29 12:07:00
26,ORD-2026-10026,19,CUST-1019,Enterprise Client 19,London,3,API Gateway Enterprise,Cloud Software,47068.57,5,COMPLETED,2026-07-08 14:21:00
27,ORD-2026-10027,5,CUST-1005,Enterprise Client 5,Austin,1,DataPulse Suite v4,Cloud Software,66235.26,5,COMPLETED,2026-05-12 15:12:00
28,ORD-2026-10028,39,CUST-1039,Enterprise Client 39,Seattle,6,Edge Compute Gateway,Enterprise Hardware,11847.19,2,COMPLETED,2026-05-26 08:09:00
29,ORD-2026-10029,22,CUST-1022,Enterprise Client 22,Austin,13,Zero Trust Shield,Cybersecurity,2372.69,1,COMPLETED,2026-01-27 15:51:00
30,ORD-2026-10030,50,CUST-1050,Enterprise Client 50,Austin,5,Storage Array SAN-500,Enterprise Hardware,28491.47,3,CANCELLED,2026-08-16 09:22:00
31,ORD-2026-10031,30,CUST-1030,Enterprise Client 30,Sydney,15,Identity Vault Pro,Cybersecurity,11149.26,2,COMPLETED,2026-01-12 13:26:00
32,ORD-2026-10032,20,CUST-1020,Enterprise Client 20,Chicago,15,Identity Vault Pro,Cybersecurity,5676.79,1,COMPLETED,2026-01-12 16:53:00
33,ORD-2026-10033,42,CUST-1042,Enterprise Client 42,Austin,12,LLM Inference Engine,AI Infrastructure,27546.53,3,COMPLETED,2026-07-14 13:45:00
34,ORD-2026-10034,3,CUST-1003,Enterprise Client 3,Seattle,3,API Gateway Enterprise,Cloud Software,17384.37,2,COMPLETED,2026-04-12 13:17:00
35,ORD-2026-10035,31,CUST-1031,Enterprise Client 31,Berlin,15,Identity Vault Pro,Cybersecurity,5278.67,1,COMPLETED,2026-08-17 17:15:00
36,ORD-2026-10036,40,CUST-1040,Enterprise Client 40,London,11,Model Training Pipeline,AI Infrastructure,43052.93,5,COMPLETED,2026-02-16 17:17:00
37,ORD-2026-10037,49,CUST-1049,Enterprise Client 49,Seattle,6,Edge Compute Gateway,Enterprise Hardware,22498.18,4,COMPLETED,2026-06-30 13:09:00
38,ORD-2026-10038,2,CUST-1002,Enterprise Client 2,Seattle,8,Stream Processing Hub,Analytics Suite,41771.23,3,COMPLETED,2026-07-15 18:31:00
39,ORD-2026-10039,14,CUST-1014,Enterprise Client 14,Seattle,7,BI Analytics Studio,Analytics Suite,9269.2,1,CANCELLED,2026-08-15 11:57:00
40,ORD-2026-10040,24,CUST-1024,Enterprise Client 24,Toronto,8,Stream Processing Hub,Analytics Suite,42799.0,3,PENDING,2026-08-01 14:18:00
41,ORD-2026-10041,37,CUST-1037,Enterprise Client 37,San Francisco,15,Identity Vault Pro,Cybersecurity,18973.9,3,PENDING,2026-08-19 09:03:00
42,ORD-2026-10042,41,CUST-1041,Enterprise Client 41,Seattle,11,Model Training Pipeline,AI Infrastructure,41778.85,5,PENDING,2026-07-09 17:07:00
43,ORD-2026-10043,26,CUST-1026,Enterprise Client 26,Tokyo,5,Storage Array SAN-500,Enterprise Hardware,19325.34,2,COMPLETED,2026-07-06 16:11:00
44,ORD-2026-10044,2,CUST-1002,Enterprise Client 2,Seattle,4,Quantum Blade Server X1,Enterprise Hardware,13782.01,2,COMPLETED,2026-05-06 12:39:00
45,ORD-2026-10045,23,CUST-1023,Enterprise Client 23,Seattle,12,LLM Inference Engine,AI Infrastructure,46784.49,5,COMPLETED,2026-05-26 18:22:00
46,ORD-2026-10046,42,CUST-1042,Enterprise Client 42,Austin,9,Predictive Engine AI,Analytics Suite,5790.23,1,COMPLETED,2026-02-24 10:34:00
47,ORD-2026-10047,27,CUST-1027,Enterprise Client 27,Toronto,7,BI Analytics Studio,Analytics Suite,19580.04,2,COMPLETED,2026-04-22 08:25:00
48,ORD-2026-10048,36,CUST-1036,Enterprise Client 36,Toronto,7,BI Analytics Studio,Analytics Suite,28580.01,3,COMPLETED,2026-06-19 09:32:00
49,ORD-2026-10049,19,CUST-1019,Enterprise Client 19,London,12,LLM Inference Engine,AI Infrastructure,9160.28,1,COMPLETED,2026-07-01 17:56:00
50,ORD-2026-10050,3,CUST-1003,Enterprise Client 3,Seattle,5,Storage Array SAN-500,Enterprise Hardware,28848.26,3,CANCELLED,2026-02-16 10:46:00
51,ORD-2026-10051,27,CUST-1027,Enterprise Client 27,Toronto,6,Edge Compute Gateway,Enterprise Hardware,5554.98,1,CANCELLED,2026-08-08 11:13:00
52,ORD-2026-10052,15,CUST-1015,Enterprise Client 15,Sydney,14,Security Audit Agent,Cybersecurity,6707.18,3,PENDING,2026-02-14 16:17:00
53,ORD-2026-10053,40,CUST-1040,Enterprise Client 40,London,5,Storage Array SAN-500,Enterprise Hardware,9829.2,1,COMPLETED,2026-05-13 08:14:00
54,ORD-2026-10054,42,CUST-1042,Enterprise Client 42,Austin,1,DataPulse Suite v4,Cloud Software,54462.52,4,COMPLETED,2026-06-05 08:30:00
55,ORD-2026-10055,7,CUST-1007,Enterprise Client 7,San Francisco,12,LLM Inference Engine,AI Infrastructure,8806.17,1,PENDING,2026-08-17 18:02:00
56,ORD-2026-10056,12,CUST-1012,Enterprise Client 12,Chicago,5,Storage Array SAN-500,Enterprise Hardware,34060.37,4,COMPLETED,2026-02-19 08:31:00
57,ORD-2026-10057,22,CUST-1022,Enterprise Client 22,Austin,6,Edge Compute Gateway,Enterprise Hardware,16495.07,3,COMPLETED,2026-07-16 17:03:00
58,ORD-2026-10058,44,CUST-1044,Enterprise Client 44,Austin,4,Quantum Blade Server X1,Enterprise Hardware,14654.44,2,COMPLETED,2026-07-01 15:24:00
59,ORD-2026-10059,34,CUST-1034,Enterprise Client 34,Berlin,11,Model Training Pipeline,AI Infrastructure,46985.44,5,CANCELLED,2026-03-22 17:03:00
60,ORD-2026-10060,20,CUST-1020,Enterprise Client 20,Chicago,5,Storage Array SAN-500,Enterprise Hardware,25898.07,3,COMPLETED,2026-01-21 18:08:00
61,ORD-2026-10061,33,CUST-1033,Enterprise Client 33,Seattle,7,BI Analytics Studio,Analytics Suite,45656.86,5,COMPLETED,2026-04-08 18:39:00
62,ORD-2026-10062,44,CUST-1044,Enterprise Client 44,Austin,10,GPU Acceleration Node,AI Infrastructure,58100.26,4,COMPLETED,2026-07-04 18:05:00
63,ORD-2026-10063,42,CUST-1042,Enterprise Client 42,Austin,3,API Gateway Enterprise,Cloud Software,17627.72,2,CANCELLED,2026-03-10 15:55:00
64,ORD-2026-10064,25,CUST-1025,Enterprise Client 25,Berlin,3,API Gateway Enterprise,Cloud Software,9571.38,1,COMPLETED,2026-07-17 10:58:00
65,ORD-2026-10065,34,CUST-1034,Enterprise Client 34,Berlin,9,Predictive Engine AI,Analytics Suite,17845.59,3,PENDING,2026-02-26 18:51:00
66,ORD-2026-10066,27,CUST-1027,Enterprise Client 27,Toronto,13,Zero Trust Shield,Cybersecurity,11562.33,5,COMPLETED,2026-03-14 18:41:00
67,ORD-2026-10067,4,CUST-1004,Enterprise Client 4,Toronto,10,GPU Acceleration Node,AI Infrastructure,27810.24,2,COMPLETED,2026-03-06 12:49:00
68,ORD-2026-10068,12,CUST-1012,Enterprise Client 12,Chicago,8,Stream Processing Hub,Analytics Suite,68381.32,5,CANCELLED,2026-06-15 10:11:00
69,ORD-2026-10069,30,CUST-1030,Enterprise Client 30,Sydney,8,Stream Processing Hub,Analytics Suite,59447.57,4,COMPLETED,2026-03-09 13:05:00
70,ORD-2026-10070,9,CUST-1009,Enterprise Client 9,Tokyo,14,Security Audit Agent,Cybersecurity,4813.53,2,COMPLETED,2026-06-13 10:12:00
71,ORD-2026-10071,44,CUST-1044,Enterprise Client 44,Austin,9,Predictive Engine AI,Analytics Suite,15041.59,3,COMPLETED,2026-07-13 08:33:00
72,ORD-2026-10072,26,CUST-1026,Enterprise Client 26,Tokyo,3,API Gateway Enterprise,Cloud Software,16989.43,2,COMPLETED,2026-03-24 13:17:00
73,ORD-2026-10073,49,CUST-1049,Enterprise Client 49,Seattle,9,Predictive Engine AI,Analytics Suite,25196.35,5,COMPLETED,2026-07-06 15:06:00
74,ORD-2026-10074,34,CUST-1034,Enterprise Client 34,Berlin,4,Quantum Blade Server X1,Enterprise Hardware,32943.53,4,COMPLETED,2026-06-21 11:23:00
75,ORD-2026-10075,16,CUST-1016,Enterprise Client 16,San Francisco,10,GPU Acceleration Node,AI Infrastructure,15451.56,1,COMPLETED,2026-03-11 13:53:00
76,ORD-2026-10076,34,CUST-1034,Enterprise Client 34,Berlin,6,Edge Compute Gateway,Enterprise Hardware,19461.07,4,COMPLETED,2026-07-09 09:20:00
77,ORD-2026-10077,49,CUST-1049,Enterprise Client 49,Seattle,15,Identity Vault Pro,Cybersecurity,24374.04,4,PENDING,2026-01-10 18:20:00
78,ORD-2026-10078,27,CUST-1027,Enterprise Client 27,Toronto,9,Predictive Engine AI,Analytics Suite,11864.1,2,COMPLETED,2026-08-18 18:03:00
79,ORD-2026-10079,19,CUST-1019,Enterprise Client 19,London,15,Identity Vault Pro,Cybersecurity,27182.45,5,CANCELLED,2026-08-19 12:02:00
80,ORD-2026-10080,43,CUST-1043,Enterprise Client 43,Tokyo,15,Identity Vault Pro,Cybersecurity,31854.05,5,PENDING,2026-07-05 10:24:00
81,ORD-2026-10081,38,CUST-1038,Enterprise Client 38,Berlin,6,Edge Compute Gateway,Enterprise Hardware,5382.25,1,COMPLETED,2026-01-04 17:36:00
82,ORD-2026-10082,9,CUST-1009,Enterprise Client 9,Tokyo,2,Cloud Sync Pro,Cloud Software,50092.88,4,COMPLETED,2026-01-04 14:03:00
83,ORD-2026-10083,39,CUST-1039,Enterprise Client 39,Seattle,7,BI Analytics Studio,Analytics Suite,51444.8,5,CANCELLED,2026-07-12 17:23:00
84,ORD-2026-10084,2,CUST-1002,Enterprise Client 2,Seattle,3,API Gateway Enterprise,Cloud Software,27301.83,3,CANCELLED,2026-08-14 18:18:00
85,ORD-2026-10085,4,CUST-1004,Enterprise Client 4,Toronto,10,GPU Acceleration Node,AI Infrastructure,27044.71,2,PENDING,2026-01-27 09:16:00
86,ORD-2026-10086,29,CUST-1029,Enterprise Client 29,Toronto,3,API Gateway Enterprise,Cloud Software,47006.11,5,PENDING,2026-05-20 14:42:00
87,ORD-2026-10087,2,CUST-1002,Enterprise Client 2,Seattle,1,DataPulse Suite v4,Cloud Software,66224.54,5,COMPLETED,2026-02-01 09:46:00
88,ORD-2026-10088,35,CUST-1035,Enterprise Client 35,Berlin,7,BI Analytics Studio,Analytics Suite,50299.28,5,COMPLETED,2026-05-07 09:56:00
89,ORD-2026-10089,13,CUST-1013,Enterprise Client 13,Sydney,5,Storage Array SAN-500,Enterprise Hardware,33811.82,4,CANCELLED,2026-04-24 13:39:00
90,ORD-2026-10090,12,CUST-1012,Enterprise Client 12,Chicago,15,Identity Vault Pro,Cybersecurity,12261.21,2,PENDING,2026-08-10 09:53:00
91,ORD-2026-10091,50,CUST-1050,Enterprise Client 50,Austin,2,Cloud Sync Pro,Cloud Software,33531.59,3,COMPLETED,2026-05-14 16:37:00
